id,authors,year,title,themes,question,sample,design,measures,results,inference,competing_explanations,classroom_use,coverage,url
szulanski2006-presumptive-adaptation,Gabriel Szulanski; Robert J. Jensen,2006,Presumptive adaptation and the effectiveness of knowledge transfer,KBV; Capabilities; Empirical,When does adapting a transferred organizational practice undermine the benefits of knowledge transfer?,Cross-border development of the Mail Boxes Etc. franchise network in Israel.,In-depth longitudinal field investigation using interviews and reconstruction of practice adoption and network development.,Adherence to recommended franchising practices and new-franchise/network growth.,Presumptive adaptation accompanied stalled growth; closer adherence accompanied rapid expansion.,Process evidence consistent with a diagnostic-template mechanism; no randomized assignment.,"Changes in management, market conditions, resources or franchisee composition could also affect growth.",Use as process evidence for replication theory and as a counterweight to the intuitive claim that immediate local adaptation always improves fit.,Abstract p. 937; field setting and methods; adherence measures; network-growth analysis and concluding discussion.,https://doi.org/10.1002/smj.551
dyer2006-relation-specific-capabilities,Jeffrey H. Dyer; Nile W. Hatch,2006,Relation‐specific capabilities and barriers to knowledge transfers: creating advantage through network relationships,KBV; Capabilities; Bridge; Empirical,"Can buyers obtain different performance from the same suppliers, and why does shared supplier knowledge not automatically erase the difference?",42 U.S. supplier plants serving both Toyota and a major U.S. automaker; retrospective 1990–1996 comparisons.,Matched within-supplier quantitative comparisons plus exploratory interviews.,Knowledge-sharing activity/assistance; defects and inventories for matched customer operations.,Toyota operations improve more; network constraints and internal rigidities impede reuse for other customers.,Matched observational evidence plus qualitative mechanisms; not randomized transfer assistance.,"Customer-specific processes, contract timing, volume differences and targeted help to weaker suppliers.",Use to explain relational capability and why knowledge transfer across firms can coexist with barriers to transfer within a supplier.,Selected source excerpts: Research methods: Sample and measures; Results opening; Conclusion. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.543
macher2006-problem-solving,Jeffrey T. Macher,2006,Technological Development and the Boundaries of the Firm: A Knowledge-Based Examination in Semiconductor Manufacturing,KBV; Bridge; Capabilities; Empirical,When do integrated or specialized semiconductor manufacturers solve technological development problems more effectively?,Semiconductor manufacturing facilities: 36 facilities from 32 firms in collected data; analysis restricted to 1995–2001.,Comparative observational models of technological-development performance across integrated and specialized manufacturers.,"Development time, initial yield, problem structure and complexity, scale and scope measures.",Specialists were faster even as complexity increased; integrated producers had quality advantages on complex problems.,Qualified evidence for organizational matching; results depend on performance dimension.,"Endogenous organization and problem selection, capability differences and economies of scale or scope.","Use as a substantive empirical qualification of KBV predictions, emphasizing that coordination can affect speed and quality differently.",Abstract p. 826; data and measures; results Tables 4–5 and discussion pp. 839–841.,https://doi.org/10.1287/mnsc.1060.0511
rothaermel2007-multilevel-innovation,Frank T. Rothaermel; Andrew M. Hess,2007,"Building Dynamic Capabilities: Innovation Driven by Individual-, Firm-, and Network-Level Effects",Capabilities; KBV; Influence; Empirical,"How do people, internal R&D and external alliances jointly contribute to an incumbent’s innovation under technological change?",81 incumbent pharmaceutical firms followed from 1980–2001 after reconstructing predecessor/merger histories.,Longitudinal patent-output models with multilevel predictors and interaction tests.,"Scientists/stars/nonstars, R&D, biotech alliances, granted biotech patent applications.",Star effect is conditional on nonstar controls; human capital substitutes for some inputs; R&D and alliances complement.,Associational multilevel evidence; interactions are not independently manipulated mechanisms.,"Unobserved innovation strategy, firm scale, prior patents, merger histories and selection of scientists/alliances.",Use to challenge both a star-employee-only account and the assumption that all useful resources are mutually complementary.,"Selected source excerpts: Methods: Research setting, Sample and Dependent variable; Results: Direct effects and Interaction hypotheses. Tables and other sections not fully reviewed.",https://doi.org/10.1287/orsc.1070.0291
haas2007-differentiated-benefits,Martine R. Haas; Morten T. Hansen,2007,"Different knowledge, different benefits: toward a productivity perspective on knowledge sharing in organizations",KBV; Empirical; Influence,Do codified documents and personal advice produce the same benefits for knowledge-intensive work?,182 sales teams in a large US management consulting company.,"Observational team survey, with interviews informing measurement and regressions by task outcome.","Document use, advice, time saved, work quality, competence signaling, document rework and advisor effort.",Codified and personal knowledge delivered different benefits; process costs reduced outcomes.,"Differentiated correlations support mechanisms, not randomized comparisons of knowledge forms.","Self-reported outcomes, endogenous knowledge use, correlated task difficulty and reused empirical context.",Use to replace an undifferentiated knowledge-performance arrow with a concrete map from knowledge form to specific benefit and cost.,Abstract p. 1133; Data and Methods pp. 1141–1144; Results and discussion.,https://doi.org/10.1002/smj.631
argyres2007-misalignment-survival,Nicholas Argyres; Lyda Bigelow,2007,Does Transaction Misalignment Matter for Firm Survival at All Stages of the Industry Life Cycle?,Bridge; Capabilities; Critiques; Empirical,Do inefficiently aligned transactions threaten survival equally at every stage of an industry’s evolution?,Historical population of U.S. automobile producers observed during 1917–1933.,Gompertz survival models with engine-governance misalignment and industry-stage interactions.,"Engine uniqueness, integration/outsourcing, shakeout period and firm failure.",Misalignment is not significant overall but has a mortality penalty during shakeout.,"Historical conditional associations, not direct observation of governance costs.","Scale economies, supplier capabilities, inherited commitments and changing competitive intensity.","Use to compare TCE efficiency predictions with evolutionary selection, including when an inefficient firm can survive.",Selected source excerpts: Data and methods opening; Results opening; Discussion. Tables and other sections not fully reviewed.,https://doi.org/10.1287/mnsc.1070.0706
somaya2008-employee-mobility,Deepak Somaya; Ian O. Williamson; Natalia Lorinkova,2008,Gone but Not Lost: The Different Performance Impacts of Employee Mobility Between Cooperators Versus Competitors,KBV; Influence; RBV; Empirical,When can losing employees preserve or improve business relationships instead of simply depleting valuable human capital?,"123 patent law firms and 109 corporate potential clients, 1991–1995.",Law-firm/client dyad fixed-effects Poisson models with lagged predictors and year effects.,Attorney inflows/outflows by destination; volume of patent work assigned by each client.,Client-bound departures associate with business gains; competitor-bound departures associate with losses.,Within-dyad observational association; external-social-capital mechanism remains inferred.,"Client selection, anticipatory hiring, attorney quality, knowledge fit and relationship changes.",Pair with Campbell and colleagues to show how different mobility destinations change the balance of knowledge loss and relationship gains.,"Selected source excerpts: Methods: Sample, Dependent variable and Analyses; Discussion and directions for future research. Tables and other sections not fully reviewed.",https://doi.org/10.5465/amj.2008.34789660
danneels2008-second-order-antecedents,Erwin Danneels,2008,Organizational antecedents of second‐order competences,Capabilities; Influence; Empirical,Which organizational conditions help firms develop the ability to build new technological and marketing competences?,145 U.S. manufacturing-firm responses in 2000; surviving/responding firms followed in 2004.,Two-wave panel and cross-sectional regressions; reverse-direction and performance-control checks.,"Second-order marketing/R&D competences; scanning, slack, conflict, cannibalization and failure tolerance.",Effects are differentiated; failure tolerance lacks expected support and is negative for lagged R&D competence.,"Temporal associations and reverse-direction tests, not randomized organizational interventions.","Selective attrition, informant changes, unmeasured antecedents and weak longitudinal marketing prediction.",Use to answer the antecedents question empirically and show why familiar prescriptions for innovation need qualified evidence.,Selected source excerpts: Data collection; Findings opening; Reverse-causation tests; Discussion on organizational antecedents. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.684
newbert2008-value-rareness,Scott L. Newbert,2008,"Value, rareness, competitive advantage, and performance: a conceptual‐level empirical investigation of the resource‐based view of the firm",RBV; Critiques; Empirical,Can the central RBV concepts of value and rarity be measured and linked separately to advantage and performance?,"Micro- and nanotechnology firms; 117 returned surveys, with analysis-specific missing-data reductions.",Cross-sectional hierarchical OLS and mediation tests across resource categories.,"Perceived value, rarity, competitive advantage and performance.",Value/rarity generally predict advantage; rarity mediation partly supported; value mediation unsupported.,"Associational conceptual-level test, not proof of causal or sustained advantage.","Common respondent bias, construct overlap, subjective shadow values and emerging-market demand uncertainty.",Use beside RBV critiques to show an explicit operationalization attempt and the specific predictions that remain unsupported.,Selected source excerpts: Methodology: Sample and Full study; Analysis/results; Mediating effect; Limitations and directions for future research. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.686
sirmon2009-investment-deployment,David G. Sirmon; Michael A. Hitt,2009,Contingencies within dynamic managerial capabilities: interdependent effects of resource investment and deployment on firm performance,Capabilities; RBV; Empirical,"When does investing more or less than rivals create value, and how does resource deployment change that relationship?","284 U.S. regional banks; 1,119 firm-year observations, 1998–2002.",Panel analysis of investment deviations and investment–deployment interactions.,Human/physical capital investment relative to rivals; service sophistication; Tobin’s q.,Investment deviation alone is unfavorable; deployment fit matters with one predicted low-investment combination unsupported.,Observational conditional relationships; managerial capability inferred from decisions.,"Industry recipes, market selection, resource-quality proxies and omitted strategic differences.",Use to move discussion from owning more resources to matching resource investments with their productive deployment.,Selected source excerpts: Method: Sample and resource/performance definitions; Results opening narrative; Discussion of fit and unsupported physical-capital result. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.791
shamsie2009-replication-renewal,Jamal Shamsie; Xavier Martin; Danny Miller,2009,"In with the old, in with the new: capabilities, strategies, and performance among the Hollywood studios",Capabilities; RBV; Empirical,"When should project-based firms repeat established strengths, and when should they build capabilities in new project categories?","Seven major Hollywood studios, 7,124 films, 1936–1965.",Historical studio-level regression analysis with strategy–resource and strategy–demand interactions.,"Genre replication/renewal relative to own and rivals’ success; theaters, stars, demand; ROS with ROA checks.",Differentiated strategies perform better; resource and demand conditions alter their payoffs.,Conditional observational associations; genre allocation is a proxy for capability development.,"Reverse performance feedback, genre-demand shifts, resource access and historical-industry specificity.",Use to connect replication and renewal to concrete competitive alternatives rather than assuming that more change always improves performance.,"Selected source excerpts: Method: Sample, outcome and strategy definitions; Results opening; Discussion. Tables and other sections not fully reviewed.",https://doi.org/10.1002/smj.789
tripsas2009-identity-inertia,Mary Tripsas,2009,"Technology, Identity, and Inertia Through the Lens of “The Digital Photography Company”",Capabilities; Critiques; Empirical,Why can an organization resist a technological opportunity even when it possesses relevant technical competences?,"Linco, 1996–2006, including interviews and participant observation during portions of its life.",Inductive longitudinal case study with internal and external archival triangulation.,"Identity claims, routines, product decisions and reactions to technological opportunities.",Identity-challenging opportunities face attention/action barriers; identity change is slow and systemically embedded.,Qualitative process theory; one case does not establish general effect prevalence.,"Technological uncertainty, financial pressures, leadership change and researcher participation.",Use beside resource-cognition and capability-rigidity readings to explain why technical feasibility does not settle adaptation.,Selected source excerpts: Data and methods; Archival records and Data analysis; Discussion and conclusions. Tables and other sections not fully reviewed.,https://doi.org/10.1287/orsc.1080.0419
danneels2011-smith-corona,Erwin Danneels,2011,Trying to become a different type of company: dynamic capability at Smith Corona,Capabilities; Critiques; RBV; Empirical,Why can a firm actively attempt renewal yet fail to redeploy its resources into viable new products?,"Smith Corona, 1980–2001; archives and 17 executive/director interviews.",Historical extended case method with triangulation and member checks.,Resource alterations and managerial resource schemas reconstructed from decisions and accounts.,Renewal attempts failed; beliefs about brand fungibility shaped unproductive paths.,"Qualitative mechanism explanation, not an isolated causal effect or universal failure model.","Retrospective rationalization, industry decline and alternative unrealized resource applications.","Use as a detailed failure case that separates attempted reconfiguration, managerial interpretation and successful adaptation.",Selected source excerpts: Method; Resource cognition; Discussion. Tables and other sections not fully reviewed.,https://doi.org/10.1002/smj.863
drnevich2011-ordinary-dynamic,Paul L. Drnevich; Aldas P. Kriauciunas,2011,Clarifying the conditions and limits of the contributions of ordinary and dynamic capabilities to relative firm performance,Capabilities; Critiques; Empirical,Do ordinary and dynamic capabilities improve both process outcomes and firm profitability under the same conditions?,48 Chilean firms reporting 192 business-process changes.,Multi-specialist retrospective survey and process-/firm-level regressions.,"IT use for existing versus new activities, perceived environmental change, capability heterogeneity, relative performance.",Ordinary capabilities positive at both levels; dynamic capability result differs across levels; moderation predictions only partly supported.,Associational evidence; the study discusses reverse causality and delayed returns.,"Poor prior performance prompting change, costs/delays of adjustment, low response and imperfect dynamism measurement.","Use as mixed evidence against treating dynamic capabilities as automatically beneficial, while emphasizing outcome levels and adjustment periods.","Selected source excerpts: Methods; Ordinary/dynamic capability and environmental-dynamism measures; Discussion and implications, first three hypothesis discussions. Tables and other sections not fully reviewed.",https://doi.org/10.1002/smj.882
campbell2012-employee-spinouts,Benjamin A. Campbell; Martin Ganco; April M. Franco; Rajshree Agarwal,2012,"Who leaves, where to, and why worry? employee mobility, entrepreneurship and effects on source firm performance",RBV; Influence; Bridge; Empirical,"Which employees leave, where do they go, and how do different destinations affect the originating firm?",Linked legal-services employer/employee records in ten U.S. states; restricted to eligible continuing firms and workers.,Longitudinal worker mobility and source-firm performance models with robustness checks.,Earnings; established-firm versus spin-out destination; compensation-based revenue-per-employee proxy.,Spin-out moves have stronger adverse source-firm associations; destination patterns differ with earnings.,Observational mobility evidence; complementary-asset transfer is an interpreted mechanism.,"Employee quality, involuntary tournament exits, unobserved opportunities, client transfer and earnings measurement.",Use to explain why human capital creates value but cannot be treated as an asset the employer simply owns.,"Selected source excerpts: Data and methodology: Context, Data source and Variables; Discussion and conclusion. Tables and other sections not fully reviewed.",https://doi.org/10.1002/smj.943
argyres2016-knowledge-inheritance,Nicholas Argyres; Romel Mostafa,2016,"Knowledge Inheritance, Vertical Integration, and Entrant Survival in the Early U.S. Auto Industry",Bridge; Capabilities; Influence; Empirical,"How does founders’ inherited knowledge shape entrants’ vertical boundaries, strategic positions and survival?","63 entrants with sufficient data out of 71 identified U.S. auto entrants, 1917–1931.","Historical integration, positioning and survival models supplemented with qualitative entrant histories.","Parent engine production, entrant engine integration, strategic positioning and survival.",Relevant knowledge inheritance predicts integration; integration supports the differentiation pathway associated with survival.,"Historical mechanism-consistent associations, not random inheritance of capabilities.","Founder pre-employment expertise, entrant selection, transaction hazards and small-sample uncertainty.",Use to show an antecedent of capability heterogeneity and trace how inherited knowledge becomes a consequential organizational choice.,Selected source excerpts: Data and estimations; Results opening; Discussion and conclusion. Tables and other sections not fully reviewed.,https://doi.org/10.5465/amj.2013.0180
girod2017-reorganization,Stéphane J. G. Girod; Richard Whittington,2017,"Reconfiguration, restructuring and firm performance: Dynamic capabilities and environmental dynamism",Capabilities; Bridge; Critiques; Empirical,How do limited organizational reconfigurations and pervasive restructurings differ in their performance consequences?,"Top 50 publicly listed industrial Fortune 500 firms in 1985, tracked to 2004; acquisitions reduce later coverage.",Archival event coding and dynamic panel System-GMM models.,"Restructurings, unit reconfigurations, environmental dynamism, Tobin’s Q and ROA.",General restructuring benefit and reconfiguration penalty reverse under high dynamism.,Conditional observational estimates; instrument and coding assumptions matter.,"Performance-triggered reorganization, structural measurement, adjustment lags and large-firm selection.",Use to distinguish forms of change and explain why frequent adaptation can carry costs as well as benefits.,"Selected source excerpts: Methods and data: Sample, outcome and reorganization measures; Results opening narrative; research summary. Tables and other sections not fully reviewed.",https://doi.org/10.1002/smj.2543
cohen2018-technology-bridges,Susan L. Cohen; Mary Tripsas,2018,Managing Technological Transitions by Building Bridges,Capabilities; KBV; Critiques; Empirical,When does old technological knowledge help or hinder invention in a new technological generation?,"14 research-active photography incumbents; patents gathered 1974–2010, outcome analysis ending 2004 to allow citation accumulation.",Longitudinal Poisson invention-impact models with firm/year controls and interaction tests.,"Inventor bridges, analog citations in digital patents, hybrid cameras, analog capability and forward citations.",Bridge effects vary by type and prior capability; digital-inventor additions alone are nonsignificant.,"Observational inventive-impact associations, not direct causal tests of beliefs or commercial success.","Patent selection, inventor-history imputation, prior capability and endogeneity of transition choices.",Use to compare persistence and renewal without assuming all old knowledge is either obsolete or automatically useful.,Selected source excerpts: Sources and data; Measures; Results opening; Discussion and limitations. Tables and other sections not fully reviewed.,https://doi.org/10.5465/amj.2015.0690
zuzul2020-founder-identity,Tiona Zuzul; Mary Tripsas,2020,Start-up Inertia versus Flexibility: The Role of Founder Identity in a Nascent Industry,Capabilities; Critiques; Influence; Empirical,Why do some young firms remain inert while other start-ups adapt in the same uncertain emerging market?,Four early air-taxi firms; archival coverage 1999–2009 with founder/executive and industry interviews.,Inductive comparative longitudinal case study.,"Founder identity, venture commitments, experiments, audience expectations and adaptation.",Revolutionary/discoverer identity patterns correspond to inertia/flexibility across the cases.,Qualitative theory development; alternative background mechanisms remain possible.,"Funding, founder experience, technology choices and depth of technical expertise examined.",Use as a boundary case against equating youth with flexibility or organizational age with rigidity.,"Selected source excerpts: Method: Setting, Sample and Data sources; Alternative explanations; Discussion. Tables and other sections not fully reviewed.",https://doi.org/10.1177/0001839219843486
chondrakis2022-coordination-sourcing,George Chondrakis; Eduardo Melero; Mari Sako,2022,The effect of coordination requirements on sourcing decisions: Evidence from patent prosecution services,KBV; Bridge; Empirical; Influence,"Do increases in coordination requirements cause firms to bring professional services inside, and does prior plural sourcing facilitate adjustment?","217,480 patent applications, 101 firms, 413 patent classes; applications filed 1995–2005.","Difference-in-differences analysis of AIPA, with continuous exposure based on pre-reform patent-class grant lags, firm/class/year effects and heterogeneity by prior plural sourcing.","In-house versus external attorney, pre-reform class grant lag, post-reform period and plural sourcing.",Coordination increases encouraged insourcing; response was stronger among prior plural sourcers.,"Plausibly causal under exposure and counterfactual-trend assumptions, stronger than a simple cross-sectional correlation.",Other reform effects correlated with patent-class delays; unobserved differences in adjustment capacity; bundled integration mechanisms.,Use as comparatively strong governance evidence and as an example of why preexisting capabilities affect responses to changes in transaction conditions.,"Title page (2021 online, 2022 issue); Methods and Data pp. 1149–1152; identification and results; conclusion p. 1166.",https://doi.org/10.1002/smj.3359
